City_ID,City,Country,Max Temp,Weather description,Lat,Lon,Hotel Name
1,Nizwa,OM,87.39,clear sky,22.9333,57.5333,Orient Apartments
8,Bigaa,PH,87.13,broken clouds,13.1978,123.7578,Miña's Mayon View Resort
9,Jeremie,HT,80.44,scattered clouds,18.65,-74.1167,Auberge’Inn
14,West Bay,KY,82.0,few clouds,19.3667,-81.4167,Calypso Cove
21,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
25,Sola,VU,77.38,overcast clouds,-13.8833,167.55,Leumerus Bungalows
29,Kapaa,US,82.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Pochutla,MX,84.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
36,Fare,PF,80.89,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
40,Cockburn Town,TC,79.16,clear sky,21.4612,-71.1419,Osprey Beach Hotel
47,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
51,Oriximina,BR,78.69,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
52,Ormara,PK,84.56,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
53,Rantauprapat,ID,76.51,moderate rain,2.1,99.8333,Permata Land Hotel & Resort
54,Russell,US,76.23,clear sky,32.3502,-85.1999,Macs
55,Riyadh,SA,82.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
58,Houston,US,81.39,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
66,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
74,Port-Gentil,GA,79.11,overcast clouds,-0.7193,8.7815,Fengshui Residence
83,Florida,US,78.82,clear sky,28.7505,-82.5001,Sportsmens Cove
86,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
88,Zaranj,AF,84.16,scattered clouds,30.9667,61.8833,غزنوی هوتل
91,Camacari,BR,78.57,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
94,Sweetwater,US,78.82,few clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
103,Padrauna,IN,75.9,overcast clouds,26.9025,83.9819,Hotel Sky Lark
106,Butaritari,KI,83.66,light rain,3.0707,172.7902,Isles Sunset Lodge
109,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
110,Zhezkazgan,KZ,77.61,scattered clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
111,San Patricio,US,80.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
114,Georgetown,MY,78.75,moderate rain,5.4112,100.3354,Cititel Penang
118,Atuona,PF,79.63,light rain,-9.8,-139.0333,Villa Enata
132,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
141,Labuhan,ID,86.11,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
146,Bartlesville,US,79.36,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
147,Tezu,IN,75.9,overcast clouds,27.9167,96.1667,Circuit House
148,Daru,PG,80.98,overcast clouds,-9.0763,143.2092,Daru Lodge
151,Guider,CM,80.91,broken clouds,9.9342,13.9486,Hotel Falaise
153,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
157,Ashti,IN,81.21,overcast clouds,19.3833,76.2333,Sree Sant Savta Mali
158,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Hami,CN,85.3,clear sky,42.8,93.45,Laoyutang Resort
165,Semey,KZ,77.22,clear sky,50.4111,80.2275,Grand Hotel Semey
166,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
