,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Te Anau,NZ,-45.4167,167.7167,49.73,77,100,5.88,overcast clouds
1,Nizwa,OM,22.9333,57.5333,87.39,18,7,1.7,clear sky
2,Jamestown,US,42.097,-79.2353,63.99,83,75,3.0,broken clouds
3,Albany,US,42.6001,-73.9662,69.03,88,88,3.0,overcast clouds
4,Slave Lake,CA,55.2834,-114.769,58.98,55,90,13.8,overcast clouds
5,Busselton,AU,-33.65,115.3333,61.05,63,100,17.05,overcast clouds
6,Victoria,HK,22.2855,114.1577,91.96,73,47,8.99,scattered clouds
7,Ketchikan,US,55.3422,-131.6461,52.27,71,75,8.05,light rain
8,Bigaa,PH,13.1978,123.7578,87.13,70,77,5.48,broken clouds
9,Jeremie,HT,18.65,-74.1167,80.44,83,35,2.44,scattered clouds
10,Dikson,RU,73.5069,80.5464,29.77,95,100,12.39,light snow
11,Tiksi,RU,71.6872,128.8694,37.65,88,16,3.69,few clouds
12,Severo-Kurilsk,RU,50.6789,156.125,38.89,98,100,10.38,overcast clouds
13,Maarianhamina,AX,60.0973,19.9348,46.26,93,90,4.61,overcast clouds
14,West Bay,KY,19.3667,-81.4167,82.0,87,20,1.01,few clouds
15,Rikitea,PF,-23.1203,-134.9692,74.7,70,91,17.31,overcast clouds
16,Chuy,UY,-33.6971,-53.4616,53.6,82,16,10.6,few clouds
17,Khatanga,RU,71.9667,102.5,27.1,87,64,10.58,broken clouds
18,Ushuaia,AR,-54.8,-68.3,29.86,86,75,18.41,light snow
19,Cherskiy,RU,68.75,161.3,60.44,32,94,6.78,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,50.56,32,90,5.01,overcast clouds
21,Avarua,CK,-21.2078,-159.775,80.65,89,20,9.22,light rain
22,Punta Arenas,CL,-53.15,-70.9167,32.11,74,20,11.77,few clouds
23,Barrow,US,71.2906,-156.7887,35.62,69,90,13.8,overcast clouds
24,Saskylakh,RU,71.9167,114.0833,37.63,78,100,12.46,overcast clouds
25,Sola,VU,-13.8833,167.55,77.38,63,100,15.21,overcast clouds
26,Torbay,CA,47.6666,-52.7314,50.77,93,90,16.11,light rain
27,Cidreira,BR,-30.1811,-50.2056,57.07,74,100,6.87,overcast clouds
28,Porto Belo,BR,-27.1578,-48.5531,60.17,87,1,5.66,clear sky
29,Kapaa,US,22.0752,-159.319,82.11,70,40,1.99,scattered clouds
30,Leningradskiy,RU,69.3833,178.4167,35.73,82,25,6.53,scattered clouds
31,Slonim,BY,53.0867,25.3219,46.83,88,69,8.01,broken clouds
32,Whitehorse,CA,60.7161,-135.0538,50.77,62,75,5.99,light rain
33,Pochutla,MX,15.7432,-96.4661,84.02,77,89,3.58,overcast clouds
34,Bethel,US,41.3712,-73.414,71.33,81,100,1.01,overcast clouds
35,Dauriya,RU,49.9333,116.8667,57.33,36,7,7.61,clear sky
36,Fare,PF,-16.7,-151.0167,80.89,71,24,11.3,few clouds
37,Souillac,MU,-20.5167,57.5167,71.98,94,75,3.65,broken clouds
38,Vryburg,ZA,-26.9566,24.7284,45.45,66,6,1.86,clear sky
39,Pisco,PE,-13.7,-76.2167,65.01,94,75,5.75,broken clouds
40,Cockburn Town,TC,21.4612,-71.1419,79.16,78,9,15.03,clear sky
41,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,13.8,light rain
42,Belmonte,BR,-15.8631,-38.8828,72.1,78,0,3.24,clear sky
43,Khromtau,KZ,50.2503,58.4347,62.06,54,11,16.89,few clouds
44,Coihaique,CL,-45.5752,-72.0662,44.55,93,90,6.91,moderate rain
45,Mataura,NZ,-46.1927,168.8643,49.48,65,100,2.48,overcast clouds
46,Kodiak,US,57.79,-152.4072,54.91,62,1,6.91,clear sky
47,Natal,BR,-5.795,-35.2094,75.42,83,20,8.93,few clouds
48,Norman Wells,CA,65.282,-126.8329,46.44,76,75,10.36,broken clouds
49,Narsaq,GL,60.9167,-46.05,34.02,96,100,3.2,overcast clouds
50,Lawrenceburg,US,38.0373,-84.8966,68.02,94,20,4.52,few clouds
51,Oriximina,BR,-1.7656,-55.8661,78.69,79,78,2.37,broken clouds
52,Ormara,PK,25.2088,64.6357,84.56,87,13,6.29,few clouds
53,Rantauprapat,ID,2.1,99.8333,76.51,97,99,0.78,moderate rain
54,Russell,US,32.3502,-85.1999,76.23,83,1,3.24,clear sky
55,Riyadh,SA,24.6877,46.7219,82.45,20,0,0.0,clear sky
56,Oranjemund,NA,-28.55,16.4333,56.84,80,78,2.73,broken clouds
57,Urengoy,RU,65.9667,78.3667,35.74,54,100,13.13,overcast clouds
58,Houston,US,29.7633,-95.3633,81.39,81,1,8.01,clear sky
59,Lompoc,US,34.6391,-120.4579,67.37,81,75,10.36,broken clouds
60,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,5.75,clear sky
61,Puerto Ayora,EC,-0.7393,-90.3518,74.55,92,58,3.0,broken clouds
62,Bredasdorp,ZA,-34.5322,20.0403,51.28,93,100,4.09,overcast clouds
63,Sobradinho,BR,-12.8333,-39.1,67.96,98,23,2.71,few clouds
64,Novorudnyy,RU,51.5026,58.1873,57.69,53,56,13.94,broken clouds
65,Mehamn,NO,71.0357,27.8492,39.54,73,86,12.64,overcast clouds
66,San Cristobal,VE,7.7669,-72.225,75.38,90,52,2.68,broken clouds
67,Clyde River,CA,70.4692,-68.5914,21.16,87,13,8.25,few clouds
68,Bluff,NZ,-46.6,168.3333,49.8,69,100,13.44,moderate rain
69,Airai,TL,-8.9266,125.4092,71.55,55,8,5.88,clear sky
70,Port Alfred,ZA,-33.5906,26.891,61.16,86,76,7.99,broken clouds
71,New Norfolk,AU,-42.7826,147.0587,51.71,54,60,8.99,light rain
72,Hobart,AU,-42.8794,147.3294,52.05,57,40,1.01,scattered clouds
73,Najran,SA,17.4924,44.1277,72.25,15,18,3.78,few clouds
74,Port-Gentil,GA,-0.7193,8.7815,79.11,85,100,12.35,overcast clouds
75,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.91,86,82,9.46,broken clouds
76,Rio Gallegos,AR,-51.6226,-69.2181,28.45,86,40,3.44,scattered clouds
77,San Jose,US,37.3394,-121.895,74.08,60,20,5.99,few clouds
78,Vanavara,RU,60.34,102.2797,45.18,34,9,3.76,clear sky
79,Arraial Do Cabo,BR,-22.9661,-42.0278,72.01,82,100,10.76,overcast clouds
